Spell,Count,Probability
AA,71593,71.59%
AB,61822,61.82%
AC,61930,61.93%
AD,61911,61.91%
AJ,32821,32.82%
AK,33129,33.13%
AX,45126,45.13%
AY,45108,45.11%
AZ,45224,45.22%
BB,71464,71.46%
BC,61977,61.98%
BD,62028,62.03%
BJ,32743,32.74%
BK,32917,32.92%
BX,45194,45.19%
BY,44833,44.83%
BZ,44924,44.92%
CC,71852,71.85%
CD,62201,62.20%
CJ,32952,32.95%
CK,33166,33.17%
CX,45346,45.35%
CY,45061,45.06%
CZ,45270,45.27%
DD,71825,71.83%
DJ,32800,32.80%
DK,32956,32.96%
DX,45269,45.27%
DY,45116,45.12%
DZ,45284,45.28%
JJ,25530,25.53%
JK,15252,15.25%
JX,22383,22.38%
JY,22352,22.35%
JZ,22633,22.63%
KK,25827,25.83%
KX,22609,22.61%
KY,22513,22.51%
KZ,22819,22.82%
XX,45292,45.29%
XY,31912,31.91%
XZ,32249,32.25%
YY,45036,45.04%
YZ,32060,32.06%
ZZ,45376,45.38%
AAA,71593,71.59%
AAB,55653,55.65%
AAC,55686,55.69%
AAD,55707,55.71%
AAJ,30557,30.56%
AAK,30871,30.87%
AAX,41270,41.27%
AAY,41098,41.10%
AAZ,41232,41.23%
ABB,55416,55.42%
ABC,45787,45.79%
ABD,45785,45.78%
ABJ,22618,22.62%
ABK,22779,22.78%
ABX,32103,32.10%
ABY,32109,32.11%
ABZ,32129,32.13%
ACC,55689,55.69%
ACD,45896,45.90%
ACJ,22777,22.78%
ACK,22957,22.96%
ACX,32245,32.25%
ACY,32216,32.22%
ACZ,32402,32.40%
ADD,55637,55.64%
ADJ,22748,22.75%
ADK,22849,22.85%
ADX,32237,32.24%
ADY,32259,32.26%
ADZ,32352,32.35%
AJJ,19287,19.29%
AJK,10064,10.06%
AJX,15003,15.00%
AJY,15064,15.06%
AJZ,15310,15.31%
AKK,19572,19.57%
AKX,15270,15.27%
AKY,15212,15.21%
AKZ,15401,15.40%
AXX,34451,34.45%
AXY,22009,22.01%
AXZ,22234,22.23%
AYY,34411,34.41%
AYZ,22193,22.19%
AZZ,34703,34.70%
BBB,71464,71.46%
BBC,55589,55.59%
BBD,55628,55.63%
BBJ,30450,30.45%
BBK,30612,30.61%
BBX,41137,41.14%
BBY,40825,40.83%
BBZ,40814,40.81%
BCC,55829,55.83%
BCD,45961,45.96%
BCJ,22710,22.71%
BCK,22845,22.84%
BCX,32299,32.30%
BCY,32060,32.06%
BCZ,32123,32.12%
BDD,55795,55.79%
BDJ,22598,22.60%
BDK,22657,22.66%
BDX,32238,32.24%
BDY,32045,32.05%
BDZ,32158,32.16%
BJJ,19417,19.42%
BJK,10007,10.01%
BJX,14916,14.92%
BJY,15014,15.01%
BJZ,15105,15.10%
BKK,19550,19.55%
BKX,15054,15.05%
BKY,15091,15.09%
BKZ,15125,15.12%
BXX,34555,34.55%
BXY,21953,21.95%
BXZ,22173,22.17%
BYY,34375,34.38%
BYZ,21985,21.98%
BZZ,34522,34.52%
CCC,71852,71.85%
CCD,55966,55.97%
CCJ,30670,30.67%
CCK,30943,30.94%
CCX,41401,41.40%
CCY,41111,41.11%
CCZ,41291,41.29%
CDD,55893,55.89%
CDJ,22719,22.72%
CDK,22905,22.91%
CDX,32332,32.33%
CDY,32360,32.36%
CDZ,32449,32.45%
CJJ,19397,19.40%
CJK,10073,10.07%
CJX,15096,15.10%
CJY,15029,15.03%
CJZ,15259,15.26%
CKK,19641,19.64%
CKX,15244,15.24%
CKY,15203,15.20%
CKZ,15497,15.50%
CXX,34579,34.58%
CXY,21991,21.99%
CXZ,22328,22.33%
CYY,34421,34.42%
CYZ,22254,22.25%
CZZ,34759,34.76%
DDD,71825,71.83%
DDJ,30544,30.54%
DDK,30721,30.72%
DDX,41390,41.39%
DDY,41131,41.13%
DDZ,41251,41.25%
DJJ,19344,19.34%
DJK,10062,10.06%
DJX,15107,15.11%
DJY,15047,15.05%
DJZ,15215,15.21%
DKK,19492,19.49%
DKX,15234,15.23%
DKY,15117,15.12%
DKZ,15381,15.38%
DXX,34641,34.64%
DXY,22160,22.16%
DXZ,22337,22.34%
DYY,34514,34.51%
DYZ,22249,22.25%
DZZ,34792,34.79%
JJJ,25530,25.53%
JJK,10572,10.57%
JJX,14177,14.18%
JJY,14054,14.05%
JJZ,14185,14.19%
JKK,10543,10.54%
JKX,6407,6.41%
JKY,6434,6.43%
JKZ,6422,6.42%
JXX,18628,18.63%
JXY,9806,9.81%
JXZ,9927,9.93%
JYY,18637,18.64%
JYZ,9982,9.98%
JZZ,18926,18.93%
KKK,25827,25.83%
KKX,14420,14.42%
KKY,14249,14.25%
KKZ,14337,14.34%
KXX,18900,18.90%
KXY,9976,9.98%
KXZ,10031,10.03%
KYY,18861,18.86%
KYZ,10016,10.02%
KZZ,19107,19.11%
XXX,45292,45.29%
XXY,25297,25.30%
XXZ,25444,25.44%
XYY,25429,25.43%
XYZ,14962,14.96%
XZZ,25734,25.73%
YYY,45036,45.04%
YYZ,25376,25.38%
YZZ,25534,25.53%
ZZZ,45376,45.38%
AAAA,71593,71.59%
AAAB,55653,55.65%
AAAC,55686,55.69%
AAAD,55707,55.71%
AAAJ,30557,30.56%
AAAK,30871,30.87%
AAAX,41270,41.27%
AAAY,41098,41.10%
AAAZ,41232,41.23%
AABB,49247,49.25%
AABC,41354,41.35%
AABD,41399,41.40%
AABJ,21089,21.09%
AABK,21256,21.26%
AABX,29475,29.48%
AABY,29316,29.32%
AABZ,29340,29.34%
AACC,49445,49.45%
AACD,41445,41.45%
AACJ,21223,21.22%
AACK,21402,21.40%
AACX,29567,29.57%
AACY,29417,29.42%
AACZ,29603,29.60%
AADD,49433,49.43%
AADJ,21169,21.17%
AADK,21288,21.29%
AADX,29522,29.52%
AADY,29461,29.46%
AADZ,29599,29.60%
AAJJ,17023,17.02%
AAJK,9538,9.54%
AAJX,14080,14.08%
AAJY,14068,14.07%
AAJZ,14331,14.33%
AAKK,17314,17.31%
AAKX,14331,14.33%
AAKY,14212,14.21%
AAKZ,14444,14.44%
AAXX,30595,30.59%
AAXY,20329,20.33%
AAXZ,20610,20.61%
AAYY,30401,30.40%
AAYZ,20459,20.46%
AAZZ,30711,30.71%
ABBB,55416,55.42%
ABBC,41210,41.21%
ABBD,41203,41.20%
ABBJ,21060,21.06%
ABBK,21209,21.21%
ABBX,29274,29.27%
ABBY,29318,29.32%
ABBZ,29222,29.22%
ABCC,41375,41.38%
ABCD,31955,31.95%
ABCJ,14684,14.68%
ABCK,14738,14.74%
ABCX,21431,21.43%
ABCY,21492,21.49%
ABCZ,21573,21.57%
ABDD,41335,41.34%
ABDJ,14652,14.65%
ABDK,14666,14.67%
ABDX,21455,21.45%
ABDY,21459,21.46%
ABDZ,21511,21.51%
ABJJ,13932,13.93%
ABJK,6119,6.12%
ABJX,9373,9.37%
ABJY,9424,9.42%
ABJZ,9439,9.44%
ABKK,14058,14.06%
ABKX,9401,9.40%
ABKY,9437,9.44%
ABKZ,9456,9.46%
ABXX,25005,25.00%
ABXY,14121,14.12%
ABXZ,14191,14.19%
ABYY,25027,25.03%
ABYZ,14142,14.14%
ABZZ,25107,25.11%
ACCC,55689,55.69%
ACCD,41414,41.41%
ACCJ,21205,21.20%
ACCK,21437,21.44%
ACCX,29478,29.48%
ACCY,29477,29.48%
ACCZ,29616,29.62%
ACDD,41381,41.38%
ACDJ,14685,14.69%
ACDK,14824,14.82%
ACDX,21588,21.59%
ACDY,21653,21.65%
ACDZ,21701,21.70%
ACJJ,13912,13.91%
ACJK,6134,6.13%
ACJX,9351,9.35%
ACJY,9398,9.40%
ACJZ,9620,9.62%
ACKK,14121,14.12%
ACKX,9612,9.61%
ACKY,9521,9.52%
ACKZ,9766,9.77%
ACXX,25044,25.04%
ACXY,14101,14.10%
ACXZ,14350,14.35%
ACYY,25021,25.02%
ACYZ,14362,14.36%
ACZZ,25336,25.34%
ADDD,55637,55.64%
ADDJ,21177,21.18%
ADDK,21311,21.31%
ADDX,29499,29.50%
ADDY,29486,29.49%
ADDZ,29558,29.56%
ADJJ,13917,13.92%
ADJK,6124,6.12%
ADJX,9461,9.46%
ADJY,9431,9.43%
ADJZ,9662,9.66%
ADKK,14028,14.03%
ADKX,9563,9.56%
ADKY,9520,9.52%
ADKZ,9655,9.65%
ADXX,25098,25.10%
ADXY,14265,14.27%
ADXZ,14385,14.38%
ADYY,25063,25.06%
ADYZ,14343,14.34%
ADZZ,25311,25.31%
AJJJ,19287,19.29%
AJJK,7116,7.12%
AJJX,9730,9.73%
AJJY,9780,9.78%
AJJZ,9875,9.88%
AJKK,7093,7.09%
AJKX,3847,3.85%
AJKY,3789,3.79%
AJKZ,3822,3.82%
AJXX,12589,12.59%
AJXY,5902,5.90%
AJXZ,6029,6.03%
AJYY,12617,12.62%
AJYZ,6022,6.02%
AJZZ,12888,12.89%
AKKK,19572,19.57%
AKKX,9998,10.00%
AKKY,9958,9.96%
AKKZ,9954,9.95%
AKXX,12880,12.88%
AKXY,6068,6.07%
AKXZ,6121,6.12%
AKYY,12818,12.82%
AKYZ,6090,6.09%
AKZZ,12990,12.99%
AXXX,34451,34.45%
AXXY,17724,17.72%
AXXZ,17797,17.80%
AXYY,17702,17.70%
AXYZ,9278,9.28%
AXZZ,17951,17.95%
AYYY,34411,34.41%
AYYZ,17767,17.77%
AYZZ,17943,17.94%
AZZZ,34703,34.70%
BBBB,71464,71.46%
BBBC,55589,55.59%
BBBD,55628,55.63%
BBBJ,30450,30.45%
BBBK,30612,30.61%
BBBX,41137,41.14%
BBBY,40825,40.83%
BBBZ,40814,40.81%
BBCC,49441,49.44%
BBCD,41402,41.40%
BBCJ,21164,21.16%
BBCK,21249,21.25%
BBCX,29461,29.46%
BBCY,29267,29.27%
BBCZ,29262,29.26%
BBDD,49395,49.40%
BBDJ,21013,21.01%
BBDK,21061,21.06%
BBDX,29385,29.39%
BBDY,29253,29.25%
BBDZ,29263,29.26%
BBJJ,17124,17.12%
BBJK,9466,9.47%
BBJX,13970,13.97%
BBJY,14058,14.06%
BBJZ,14157,14.16%
BBKK,17245,17.24%
BBKX,14091,14.09%
BBKY,14117,14.12%
BBKZ,14169,14.17%
BBXX,30498,30.50%
BBXY,20237,20.24%
BBXZ,20420,20.42%
BBYY,30367,30.37%
BBYZ,20240,20.24%
BBZZ,30412,30.41%
BCCC,55829,55.83%
BCCD,41567,41.57%
BCCJ,21175,21.18%
BCCK,21331,21.33%
BCCX,29573,29.57%
BCCY,29325,29.33%
BCCZ,29393,29.39%
BCDD,41482,41.48%
BCDJ,14599,14.60%
BCDK,14697,14.70%
BCDX,21570,21.57%
BCDY,21535,21.54%
BCDZ,21523,21.52%
BCJJ,13997,14.00%
BCJK,6182,6.18%
BCJX,9281,9.28%
BCJY,9363,9.36%
BCJZ,9495,9.50%
BCKK,14112,14.11%
BCKX,9416,9.42%
BCKY,9478,9.48%
BCKZ,9561,9.56%
BCXX,25082,25.08%
BCXY,14117,14.12%
BCXZ,14298,14.30%
BCYY,25015,25.01%
BCYZ,14190,14.19%
BCZZ,25139,25.14%
BDDD,55795,55.79%
BDDJ,21050,21.05%
BDDK,21131,21.13%
BDDX,29563,29.56%
BDDY,29276,29.28%
BDDZ,29340,29.34%
BDJJ,13957,13.96%
BDJK,6071,6.07%
BDJX,9305,9.30%
BDJY,9343,9.34%
BDJZ,9442,9.44%
BDKK,13997,14.00%
BDKX,9417,9.42%
BDKY,9436,9.44%
BDKZ,9435,9.44%
BDXX,25157,25.16%
BDXY,14205,14.21%
BDXZ,14288,14.29%
BDYY,25051,25.05%
BDYZ,14151,14.15%
BDZZ,25171,25.17%
BJJJ,19417,19.42%
BJJK,7091,7.09%
BJJX,9821,9.82%
BJJY,9768,9.77%
BJJZ,9819,9.82%
BJKK,7050,7.05%
BJKX,3741,3.74%
BJKY,3823,3.82%
BJKZ,3746,3.75%
BJXX,12508,12.51%
BJXY,5937,5.94%
BJXZ,5921,5.92%
BJYY,12636,12.64%
BJYZ,6057,6.06%
BJZZ,12743,12.74%
BKKK,19550,19.55%
BKKX,9959,9.96%
BKKY,9861,9.86%
BKKZ,9797,9.80%
BKXX,12687,12.69%
BKXY,6026,6.03%
BKXZ,5963,5.96%
BKYY,12770,12.77%
BKYZ,6032,6.03%
BKZZ,12762,12.76%
BXXX,34555,34.55%
BXXY,17630,17.63%
BXXZ,17725,17.72%
BXYY,17811,17.81%
BXYZ,9287,9.29%
BXZZ,17962,17.96%
BYYY,34375,34.38%
BYYZ,17666,17.67%
BYZZ,17722,17.72%
BZZZ,34522,34.52%
CCCC,71852,71.85%
CCCD,55966,55.97%
CCCJ,30670,30.67%
CCCK,30943,30.94%
CCCX,41401,41.40%
CCCY,41111,41.11%
CCCZ,41291,41.29%
CCDD,49658,49.66%
CCDJ,21135,21.14%
CCDK,21356,21.36%
CCDX,29571,29.57%
CCDY,29565,29.57%
CCDZ,29656,29.66%
CCJJ,17115,17.11%
CCJK,9549,9.55%
CCJX,14112,14.11%
CCJY,14072,14.07%
CCJZ,14303,14.30%
CCKK,17418,17.42%
CCKX,14288,14.29%
CCKY,14245,14.24%
CCKZ,14566,14.57%
CCXX,30634,30.63%
CCXY,20307,20.31%
CCXZ,20631,20.63%
CCYY,30471,30.47%
